id;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;pessoas;mortos;feridos_leves;feridos_graves;ilesos;ignorados;feridos;veiculos;latitude;longitude;regional;delegacia;uop;feriado
562815.0;2023-11-22;quarta-feira;00:35:00;SP;116.0;102,5;PINDAMONHANGABA;Ausência de reação do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Chuva;Dupla;Aclive;Não;3;0;1;0;2;0;1;2;-22,99497994;-45,48951403;SPRF-SP;DEL08-SP;UOP01-DEL08-SP;false
562861.0;2023-11-22;quarta-feira;11:00:00;SP;381.0;37;ATIBAIA;Demais falhas mecânicas ou elétricas;Colisão traseira;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;"Curva;Interseção de Vias;Decli";Não;4;0;1;0;3;0;1;3;-23,10506237;-46,56881577;SPRF-SP;DEL03-SP;UOP01-DEL03-SP;false
562890.0;2023-11-22;quarta-feira;14:20:00;SP;116.0;206;GUARULHOS;Reação tardia ou ineficiente do condutor;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;2;0;1;0;0;1;1;2;-23,41722629;-46,37510292;SPRF-SP;DEL01-SP;UOP01-DEL01-SP;false
562914.0;2023-11-22;quarta-feira;16:25:00;SP;116.0;24,6;LAVRINHAS;Demais falhas mecânicas ou elétricas;Incêndio;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;"Aclive;Reta                   ";Não;1;0;1;0;0;0;1;1;-22,59895814;-44,88797962;SPRF-SP;DEL08-SP;UOP02-DEL08-SP;false
562956.0;2023-11-22;quarta-feira;19:30:00;SP;116.0;47;CANAS;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Não;3;0;1;0;1;1;1;2;-22,71946606;-45,06109596;SPRF-SP;DEL08-SP;UOP02-DEL08-SP;false
562969.0;2023-11-22;quarta-feira;21:40:00;SP;116.0;176,9;GUARAREMA;Entrada inopinada do pedestre;Atropelamento de Pedestre;Com Vítimas Fatais;Plena Noite;Decrescente;Céu Claro;Dupla;Curva;Não;3;1;0;0;1;1;0;2;-23,32188281;-46,110083;SPRF-SP;DEL01-SP;UOP01-DEL01-SP;false
562996.0;2023-11-23;quinta-feira;05:00:00;SP;116.0;388;MIRACATU;Condutor Dormindo;Saída de leito carroçável;Com Vítimas Feridas;Plena Noite;Crescente;Garoa/Chuvisco;Dupla;Reta;Não;1;0;1;0;0;0;1;1;-24,26919492;-47,39740603;SPRF-SP;DEL04-SP;UOP02-DEL04-SP;false
563015.0;2023-11-23;quinta-feira;07:20:00;SP;116.0;2;QUELUZ;Reação tardia ou ineficiente do condutor;Colisão traseira;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Não;1;0;0;1;0;0;1;1;-22,52224482;-44,7168661;SPRF-SP;DEL08-SP;UOP02-DEL08-SP;false
563104.0;2023-11-23;quinta-feira;16:20:00;SP;116.0;436;REGISTRO;Objeto estático sobre o leito carroçável;Saída de leito carroçável;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Dupla;Reta;Não;6;0;4;1;1;0;5;2;-24,42978592;-47,78559107;SPRF-SP;DEL05-SP;UOP01-DEL05-SP;false
563138.0;2023-11-23;quinta-feira;16:50:00;SP;381.0;2;VARGEM;Ausência de reação do condutor;Engavetamento;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Dupla;Curva;Não;6;0;2;0;4;0;2;4;-22,88187369;-46,39059388;SPRF-SP;DEL03-SP;UOP02-DEL03-SP;false
563151.0;2023-11-23;quinta-feira;19:30:00;SP;116.0;288;ITAPECERICA DA SERRA;Ausência de reação do condutor;Colisão lateral mesmo sentido;Com Vítimas Feridas;Plena Noite;Decrescente;Garoa/Chuvisco;Dupla;Reta;Não;4;0;2;0;2;0;2;3;-23,719254;-46,883144;SPRF-SP;DEL04-SP;UOP01-DEL04-SP;false
